Location,Population,% of world,Date,Source (official or from the United Nations),Notes,source_page,table_number,Country/Territory Country/Territory,IMF[1][6] Forecast,IMF[1][6] Year,World Bank[7] Estimate,World Bank[7] Year,United Nations[8] Estimate,United Nations[8] Year,Country Country,Youth (15 to 24) Rate,Youth (15 to 24) Year,Adult (25+) Rate,Adult (25+) Year,Elderly (65+) Rate,Elderly (65+) Year,Youth Gender Parity Index Rate,Youth Gender Parity Index Year,Literacy rate[12][13] [text–source integrity?] Total,Literacy rate[12][13] [text–source integrity?] Male,Literacy rate[12][13] [text–source integrity?] Female,Literacy rate[12][13] [text–source integrity?] Gender gap,Literacy rate[12][13] [text–source integrity?] Year,Territory,Literacy rate (all),Male literacy,Female literacy,Gender difference[a],Year,Note
,,,,,,List_of_countries_by_GDP_(nominal),1,Uganda,64277,2025,53652,2024,51023,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Bolivia,56339,2025,49668,2024,45135,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Tunisia,56291,2025,53410,2024,48541,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Jordan,56102,2025,53352,2024,50814,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Cameroon,56011,2025,51327,2024,49279,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Macau,53354,[n 8]2025,50183,2024,45803,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Cambodia,49799,2025,46353,2024,42824,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Bahrain,47829,2025,47737,2024,44662,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Libya,47484,2025,46636,2024,44030,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Nepal,46080,2025,42914,2024,40484,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Latvia,45535,2025,43521,2024,42248,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Paraguay,45465,2025,44458,2024,42955,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Estonia,45004,2025,42765,2024,41291,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Cyprus,38736,[n 9]2025,36333,[n 9]2024,33887,[n 9]2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Zimbabwe,38172,2025,44188,2024,30368,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Honduras,38172,2025,37094,2024,34401,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,El Salvador,36749,2025,35365,2024,34016,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Georgia,35353,[n 10]2025,33776,[n 10]2024,30536,[n 10]2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Iceland,35309,2025,33463,2024,31325,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Senegal,34728,2025,32267,2024,30408,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Haiti,33548,2025,25224,2024,19841,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Papua New Guinea,32835,2025,32538,2024,31020,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Sudan,31506,2025,49910,2024,34021,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Guinea,30094,2025,25334,2024,23006,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Zambia,28910,2025,26326,2024,27578,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Bosnia and Herzegovina,28807,2025,28343,2024,27515,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Albania,28372,2025,27178,2024,22978,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Burkina Faso,27056,2025,23250,2024,20325,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Trinidad and Tobago,26467,2025,26429,2024,25489,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Armenia,26258,2025,25787,2024,24219,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Guyana,25822,2025,24836,2024,16683,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Mongolia,25804,2025,23586,2024,19872,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Malta,25750,2025,24322,2024,22212,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Mozambique,23771,2025,22417,2024,20954,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Mali,23208,2025,26588,2024,20662,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Benin,22236,2025,21483,2024,19673,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Niger,21874,2025,19538,2024,16819,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Jamaica,21411,2025,19930,2024,19423,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Nicaragua,21155,2025,19694,2024,17829,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Gabon,20391,2025,20867,2024,20056,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Lebanon,—,—,20079,2023,27464,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Syria,—,—,19993,2023,29028,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Kyrgyzstan,19849,2025,17478,2024,13988,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Moldova,19462,[n 11]2025,18200,[n 11]2024,16542,[n 11]2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Botswana,19400,2025,19401,2024,19396,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Chad,18792,2025,20626,2024,17643,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Madagascar,18708,2025,17421,2024,15870,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,North Macedonia,17885,2025,16685,2024,15764,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Yemen,17401,2025,—,—,8758,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Afghanistan,—,—,17152,2023,16417,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,North Korea,—,—,—,—,16447,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Laos,16322,2025,16503,2024,15008,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Brunei,16007,2025,15463,2024,15128,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Mauritius,15495,2025,14953,2024,14397,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Congo,15281,2025,15720,2024,14167,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Bahamas,15178,2025,15833,2024,14338,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Tajikistan,14836,2025,14205,2024,12061,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Rwanda,14771,2025,14252,2024,14097,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Namibia,14214,2025,13372,2024,12351,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Malawi,13959,2025,11009,2024,12627,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Palestine,—,—,13711,[n 12]2024,17396,[n 13]2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Somalia,12994,2025,12109,2024,10969,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Equatorial Guinea,12684,2025,12766,2024,12117,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Channel Islands,—,—,12508,2023,—,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Mauritania,11470,2025,10767,2024,10652,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Kosovo,11274,2025,11149,2024,10467,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,New Caledonia,—,—,9623,2022,10140,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Togo,10023,2025,9926,2024,9278,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Monaco,—,—,9995,2023,9995,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Bermuda,—,—,8980,2024,8142,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Montenegro,8562,2025,8070,2024,7530,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Sierra Leone,8386,2025,7548,2024,6412,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Liechtenstein,—,—,8288,2023,7965,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Barbados,7552,2025,7165,2024,6721,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Maldives,7480,2025,6975,2024,6591,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Isle of Man,—,—,7431,2022,—,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Cayman Islands,—,—,7139,2023,7127,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Guam,—,—,6910,2022,—,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Burundi,6745,2025,2162,2024,3960,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,French Polynesia,—,—,6402,2023,6398,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Fiji,6257,2025,5841,2024,5442,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Eswatini,5483,2025,4892,2024,4574,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Liberia,5166,2025,4750,2024,5039,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,U.S. Virgin Islands,—,—,4672,2022,—,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Djibouti,4587,2025,4086,2024,4000,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Suriname,4506,2025,4714,2024,3759,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Aruba,4100,2025,3649,2023,3649,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Andorra,4035,2025,4040,2024,3785,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,South Sudan,3998,2025,—,—,4629,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Faroe Islands,—,—,3907,2023,—,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Belize,3611,2025,3516,2024,3079,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Bhutan,3422,2025,3019,2023,3019,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Greenland,—,—,3327,2023,3041,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Curaçao,—,—,3281,2023,3281,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Central African Republic,2932,2025,2752,2024,2555,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Cape Verde,2786,2025,2768,2024,2591,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Gambia,2771,2025,2508,2024,2401,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Saint Lucia,2632,2025,2549,2024,2430,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Zanzibar,—,—,—,—,2483,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Lesotho,2404,2025,2272,2024,2118,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Antigua and Barbuda,2373,2025,2225,2024,2033,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Eritrea,—,—,—,—,2275,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Guinea-Bissau,2274,2025,2120,2024,1841,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Seychelles,2198,2025,2167,2024,2141,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Timor-Leste,2115,2025,1881,2024,2080,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,San Marino,2047,2025,1832,2022,1987,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Solomon Islands,1898,2025,1761,2024,1633,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Turks and Caicos Islands,—,—,1745,2024,1402,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Sint Maarten,—,—,1735,2024,1677,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Comoros,1548,2025,1546,2024,1448,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,British Virgin Islands,—,—,—,—,1506,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Grenada,1464,2025,1391,2024,1317,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Vanuatu,1267,2025,1161,2024,1119,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Saint Vincent and the Grenadines,1242,2025,1157,2024,1091,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Northern Mariana Islands,—,—,1096,2022,—,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Samoa,1160,2025,1068,2024,1032,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Saint Kitts and Nevis,1129,2025,1067,2024,1058,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,American Samoa,—,—,871,2022,—,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,São Tomé and Príncipe,864,2025,764,2024,684,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Dominica,742,2025,689,2024,651,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Saint Martin,—,—,649,2021,—,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Tonga,568,2025,509,2023,508,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Micronesia,500,2025,471,2024,460,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Anguilla,—,—,—,—,416,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Cook Islands,—,—,—,—,366,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Palau,333,2025,282,2023,282,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Kiribati,312,2025,308,2024,289,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Marshall Islands,297,2025,280,2024,270,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Nauru,169,2025,160,2024,176,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Montserrat,—,—,—,—,80,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_GDP_(nominal),1,Tuvalu,65,2025,62,2023,68,2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Afghanistan *,65.0,2020[4],31.7,2011.0,20.3,2011.0,0.5,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Albania *,99.2,2012,97.2,2012.0,86.9,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Algeria *,93.8,2008,75.1,2008.0,19.5,2008.0,1.0,2008.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,American Samoa *,97.7,1980,97.3,1980.0,92.7,1980.0,1.0,1980.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Andorra *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Angola *,77.4,2014,66.0,2014.0,27.0,2014.0,0.8,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Anguilla *,99.1,1984,95.4,1984.0,88.0,1984.0,1.0,1984.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Antigua and Barbuda *,,,98.9,2015.0,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Argentina *,99.5,2016,99.1,2016.0,97.9,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Armenia *,99.8,2011,99.7,2011.0,98.9,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Aruba *,99.1,2010,96.8,2010.0,88.9,2010.0,1.0,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Australia *,96.6,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Austria *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Azerbaijan *,99.9,2016,99.8,2016.0,98.4,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Bahamas,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Bahrain *,97.0,2001,86.5,2001.0,42.3,2001.0,1.0,2001.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Bangladesh *,94.9,2019,74.7,2019.0,39.4,2019.0,1.03,2019.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Barbados *,99.9,2014,99.6,2014.0,98.5,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Belarus *,99.8,2009,99.6,2009.0,98.6,2009.0,1.0,2009.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Belgium *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Belize *,77.6,1991,70.3,1991.0,44.8,1991.0,1.0,1991.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Benin *,52.5,2012,32.9,2012.0,7.0,2012.0,0.6,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Bermuda *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Bhutan *,87.3,2012,57.0,2012.0,14.9,2012.0,0.9,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Bolivia *,99.4,2015,92.5,2015.0,67.5,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Bonaire,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Bosnia and Herzegovina *,99.7,2013,97.0,2013.0,86.0,2013.0,1.0,2013.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Botswana *,97.7,2014,87.7,2014.0,40.7,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Brazil *,99.7,2020,92.0,2015.0,74.3,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,British Virgin Islands *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Brunei *,99.4,2011,96.1,2011.0,61.6,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Bulgaria *,97.9,2011,98.4,2011.0,97.5,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Burkina Faso *,50.1,2014,34.6,2014.0,8.4,2014.0,0.8,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Burundi *,79.6,2014,61.6,2014.0,24.9,2014.0,0.9,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Cape Verde *,98.1,2015,86.8,2015.0,36.8,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Cambodia *,92.2,2015,80.5,2015.0,53.1,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Cameroon *,80.6,2010,71.3,2010.0,26.1,2010.0,0.9,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Canada *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Cayman Islands *,98.9,2007,98.9,2007.0,94.7,2007.0,1.0,2007.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Central African Republic *,36.4,2010,36.8,2010.0,35.7,2010.0,0.6,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Chad *,30.8,2016,22.3,2016.0,7.0,2016.0,0.6,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Chile *,99.4,2015,96.9,2015.0,89.9,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,China *,99.8[5],2018,96.8[6],2018.0,73.9,2010.0,1.0[7],2018.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Hong Kong *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Macau *,99.8,2016,96.5,2016.0,81.2,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Colombia *,98.7,2016,94.7,2016.0,81.4,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Comoros *,71.6,2012,49.2,2012.0,12.8,2012.0,0.9,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Congo *,80.9,2011,79.3,2011.0,73.1,2011.0,0.9,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,DR Congo *,85.0,2016,77.0,2016.0,48.0,2016.0,0.9,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Cook Islands *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Costa Rica *,99.1,2011,97.4,2011.0,90.4,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Ivory Coast *,53.0,2014,43.9,2014.0,18.0,2014.0,0.8,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Croatia *,99.7,2011,99.1,2011.0,97.1,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Cuba *,99.9,2012,99.8,2012.0,99.2,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Curaçao,,,,,,,,,,,,,,,,,,,,
